Year,Month,Avg Temp City A (°C),Avg Temp City B (°C)
2010,January,17,12
2011,February,17,16
2012,March,15,16
2013,April,14,15
2014,May,16,14
2015,June,10,14
2016,July,11,17
2017,August,13,17
2018,September,14,14
2019,October,14,15
2020,November,16,16
2021,December,12,13
2022,January,11,20
2023,February,12,16
2024,March,14,18
2025,April,17,17
2026,May,15,8
2027,June,10,17
2028,July,16,15
2029,August,15,19
2010,September,11,17
2011,October,15,18
2012,November,10,18
2013,December,16,15
2014,January,11,14
2015,February,10,15
2016,March,12,16
2017,April,11,16
2018,May,15,18
2019,June,13,19
2020,July,11,11
2021,August,10,14
2022,September,17,16
2023,October,17,18
2024,November,14,16
2025,December,24,18
2026,January,14,13
2027,February,17,16
2028,March,16,16
2029,April,19,15
2010,May,10,19
2011,June,13,16
2012,July,15,22
2013,August,14,19
2014,September,20,15
2015,October,17,11
2016,November,18,18
2017,December,13,14
2018,January,16,15
2019,February,16,15
2020,March,11,18
2021,April,16,18
2022,May,21,13
2023,June,11,17
2024,July,17,16
2025,August,15,23
2026,September,13,15
2027,October,11,18
2028,November,11,19
2029,December,15,21
2010,January,14,14
2011,February,19,18
2012,March,13,14
2013,April,13,17
2014,May,15,17
2015,June,14,18
2016,July,15,16
2017,August,13,17
2018,September,13,15
2019,October,12,11
2020,November,15,12
2021,December,20,20
2022,January,7,19
2023,February,13,22
2024,March,18,18
2025,April,9,19
2026,May,17,18
2027,June,14,18
2028,July,17,18
2029,August,13,14
2010,September,16,16
2011,October,18,17
2012,November,16,22
2013,December,11,15
2014,January,15,17
2015,February,18,17
2016,March,13,14
2017,April,13,18
2018,May,16,21
2019,June,13,10
2020,July,15,18
2021,August,13,18
2022,September,12,20
2023,October,17,18
2024,November,14,13
2025,December,15,18
2026,January,16,16
2027,February,11,17
2028,March,15,20
2029,April,18,18
2010,May,11,12
2011,June,16,17
2012,July,20,16
2013,August,11,17
2014,September,14,16
2015,October,18,19
2016,November,14,18
2017,December,13,16
2018,January,12,16
2019,February,20,14
2020,March,18,17
2021,April,17,19
2022,May,20,18
2023,June,20,10
2024,July,17,14
2025,August,8,16
2026,September,19,17
2027,October,14,18
2028,November,17,20
2029,December,16,19
2010,January,16,17
2011,February,23,16
2012,March,14,20
2013,April,18,13
2014,May,13,15
2015,June,17,16
2016,July,17,15
2017,August,19,21
2018,September,12,18
2019,October,19,10
2020,November,14,19
2021,December,20,11
2022,January,13,11
2023,February,18,20
2024,March,17,18
2025,April,16,17
2026,May,16,17
2027,June,15,13
2028,July,14,11
2029,August,19,18
2010,September,10,16
2011,October,18,16
2012,November,12,19
2013,December,13,17
2014,January,9,17
2015,February,11,19
2016,March,16,25
2017,April,16,21
2018,May,14,20
2019,June,14,12
2020,July,14,17
2021,August,12,18
2022,September,10,12
2023,October,14,17
2024,November,16,21
2025,December,8,15
2026,January,13,12
2027,February,8,12
2028,March,17,18
2029,April,17,19
2010,May,19,15
2011,June,18,19
2012,July,12,15
2013,August,17,16
2014,September,15,14
2015,October,20,22
2016,November,10,19
2017,December,10,13
2018,January,13,17
2019,February,9,12
2020,March,17,16
2021,April,19,15
2022,May,15,15
2023,June,18,17
2024,July,12,19
2025,August,12,17
2026,September,15,24
2027,October,19,12
2028,November,11,19
2029,December,16,20
2010,January,9,17
2011,February,15,15
2012,March,15,16
2013,April,19,20
2014,May,13,22
2015,June,19,16
2016,July,13,12
2017,August,22,13
2018,September,15,17
2019,October,13,14
2020,November,18,15
2021,December,13,18
2022,January,18,23
2023,February,15,14
2024,March,17,12
2025,April,17,18
2026,May,16,17
2027,June,20,15
2028,July,19,19
2029,August,15,19
2010,September,18,13
2011,October,16,14
2012,November,12,19
2013,December,18,17
2014,January,15,18
2015,February,13,19
2016,March,19,21
2017,April,14,18
2018,May,18,18
2019,June,16,12
2020,July,10,17
2021,August,11,18
2022,September,19,18
2023,October,18,11
2024,November,10,20
2025,December,15,8
2026,January,17,17
2027,February,19,16
2028,March,16,14
2029,April,16,15
2010,May,15,21
2011,June,17,18
2012,July,20,16
2013,August,13,13
2014,September,11,16
2015,October,15,20
2016,November,15,17
2017,December,13,15
2018,January,10,16
2019,February,11,14
2020,March,10,18
2021,April,13,24
2022,May,11,16
2023,June,12,17
2024,July,17,18
2025,August,13,19
2026,September,13,21
2027,October,15,20
2028,November,15,20
2029,December,15,22